OBJECTID,COUNTYNBR,NAME,COUNTYSEAT,SHORTDESC,UPDATED,FIPS,ENTITYNBR,SALESTAXID,IMSCOLOR,MINNAME,POPLASTCENSUS,POPLASTESTIMATE,UGRCODE,GNIS,GlobalID,Shape__Area,Shape__Length
6,29,South Ogden,0,SOUTH OGDEN,2/15/23 0:00,70960,3100,040,1, ,17488,17716,SOG,1445910,29858b08-81f2-4c7b-b1a7-041ea27da5ef,17907824.19,29010.91727
101,18,South Salt Lake,0,SOUTH SALT LAKE CITY,11/14/18 0:00,71070,3100,139,1,South Salt Lake,26777,26003,SSL,1432753,c276a3dd-644a-46a1-b4ab-6069003fcbf2,31314557.29,26386.49433
61,06,South Weber,0,SOUTH WEBER,1/30/12 0:00,71180,3100,045,2, ,7867,8124,SWE,1445935,0c69984c-df24-4776-b474-377f7f4e83af,21467687.38,32437.87306
142,25,Spanish Fork,0,SPANISH FORK,3/18/24 0:00,71290,3180,103,1,Spanish Fork,42602,44102,SFK,1445945,73204a80-1b74-489c-bf7d-927c2a3110c3,79582858.71,90240.884
107,20,Spring City,0,SPRING CITY,4/18/24 0:00,71730,3110,031,4, ,949,,SPC,1445992,95780095-cffe-43a7-b6aa-65bd9eba06f8,6147281.777,10726.15908
232,27,Springdale,0,SPRINGDALE,,71840,3100,023,2,Springdale,514,576,SPD,1432867,7afda8e7-1b79-45ec-aba7-e0af45701f62,18782625.86,23966.38657
34,25,Springville,0,SPRINGVILLE,3/15/22 0:00,72280,3190,106,2, ,35268,35832,SPV,1446057,9e8811b7-d6f7-4232-8e2f-18961382cca7,64481394.18,57976.95773
228,27,St. George,1,ST GEORGE CITY,9/15/23 0:00,65330,3080,020,2,St. George,95342,102519,STG,1455098,679acdd7-1f0d-473b-b709-dbd7e7693ac6,315625593,125447.4681
72,20,Sterling,0,STERLING,1/26/18 0:00,72940,3120,032,4, ,274,289,STE,1446134,dcecc5db-f742-4946-89c2-40c4447df089,1392236.863,7852.414988
118,23,Stockton,0,STOCKTON,6/25/13 0:00,73050,3040,046,2, ,621,623,STK,1432990,ae395bcc-3d95-43f4-8453-711408fc6038,7577490.355,14222.93097
174,06,Sunset,0,SUNSET,1/30/12 0:00,74480,3110,048,2, ,5475,5372,SUN,1451459,638108ec-73d9-4506-b655-ad771c40bdc7,6703787.105,11531.10404
234,06,Syracuse,0,SYRACUSE,1/22/24 0:00,74810,3120,049,3, ,32141,35561,SYR,1433147,f4835a79-e9b0-422e-8bc0-e16d95903f00,47501980.64,42589.24836
148,07,Tabiona,0,TABIONA,10/9/20 0:00,74920,3050,020,4,Tabiona,143,153,TAB,14331156,843ed676-6279-413d-8470-99b68935fda9,621671.0234,3748.399468
20,18,Taylorsville,0,TAYLORSVILLE CITY,9/15/14 0:00,75360,3105,142,4,Taylorsville,60448,57879,TAY,1433206,15538c35-e048-4ec3-8bdb-0e6f6a44888c,48863547.41,38214.2219
162,23,Tooele,1,TOOELE,4/14/20 0:00,76680,3050,048,1,Tooele City,35742,38588,TOO,1433590,91737455-ea67-423a-ae64-a51dc54ccceb,108586587.9,74854.08546
