X,Y,Z,Name,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,NAME2
430765.946085377,4609544.13813704,0,14.01,"49","005","001401",1400000US49005001401,"49005001401",Census Tract 14.01,UT,Cache County,Utah,CT,"15436013","0",14.01
427509.851857792,4609436.65402243,0,14.02,"49","005","001402",1400000US49005001402,"49005001402",Census Tract 14.02,UT,Cache County,Utah,CT,"14001125","13847",14.02
427717.00413716,4601354.22726597,0,15,"49","005","001500",1400000US49005001500,"49005001500",Census Tract 15,UT,Cache County,Utah,CT,"127001136","1757193",15
448845.064157032,4614927.38961185,0,9801,"49","005","980100",1400000US49005980100,"49005980100",Census Tract 9801,UT,Cache County,Utah,CT,"1838176975","1045465",9801
524254.989566027,4381347.08320717,0,1,"49","007","000100",1400000US49007000100,"49007000100",Census Tract 1,UT,Carbon County,Utah,CT,"73635820","0",1
515456.552354175,4385601.47673031,0,2,"49","007","000200",1400000US49007000200,"49007000200",Census Tract 2,UT,Carbon County,Utah,CT,"24000778","0",2
517750.02382852,4382997.37563592,0,3,"49","007","000300",1400000US49007000300,"49007000300",Census Tract 3,UT,Carbon County,Utah,CT,"7373053","0",3
497769.940300978,4387915.14428703,0,5,"49","007","000500",1400000US49007000500,"49007000500",Census Tract 5,UT,Carbon County,Utah,CT,"1115839194","10987530",5
550990.111660775,4388120.24478268,0,6,"49","007","000600",1400000US49007000600,"49007000600",Census Tract 6,UT,Carbon County,Utah,CT,"2610218871","4856913",6
609795.440059612,4522128.0542713,0,9601,"49","009","960100",1400000US49009960100,"49009960100",Census Tract 9601,UT,Daggett County,Utah,CT,"1805185844","61230034",9601
426220.181237002,4545859.69728659,0,1251.02,"49","011","125102",1400000US49011125102,"49011125102",Census Tract 1251.02,UT,Davis County,Utah,CT,"43043582","41281",1251.02
421027.781696573,4553308.74841797,0,1251.03,"49","011","125103",1400000US49011125103,"49011125103",Census Tract 1251.03,UT,Davis County,Utah,CT,"13342073","54197",1251.03
425311.784090652,4552731.64933733,0,1251.04,"49","011","125104",1400000US49011125104,"49011125104",Census Tract 1251.04,UT,Davis County,Utah,CT,"21373287","80535",1251.04
415415.871105176,4551901.51775355,0,1252.01,"49","011","125201",1400000US49011125201,"49011125201",Census Tract 1252.01,UT,Davis County,Utah,CT,"1698132","9401",1252.01
413515.317877847,4554391.85019118,0,1253.01,"49","011","125301",1400000US49011125301,"49011125301",Census Tract 1253.01,UT,Davis County,Utah,CT,"2752976","7032",1253.01
411866.232802259,4555420.76769961,0,1253.04,"49","011","125304",1400000US49011125304,"49011125304",Census Tract 1253.04,UT,Davis County,Utah,CT,"3353547","0",1253.04
411864.557780368,4553606.04847387,0,1253.05,"49","011","125305",1400000US49011125305,"49011125305",Census Tract 1253.05,UT,Davis County,Utah,CT,"3904639","0",1253.05
409856.839668324,4555445.28491123,0,1253.06,"49","011","125306",1400000US49011125306,"49011125306",Census Tract 1253.06,UT,Davis County,Utah,CT,"2186592","729",1253.06
408239.336128935,4554565.61493958,0,1253.07,"49","011","125307",1400000US49011125307,"49011125307",Census Tract 1253.07,UT,Davis County,Utah,CT,"12629315","20926",1253.07
409285.405978817,4551232.17592984,0,1254.07,"49","011","125407",1400000US49011125407,"49011125407",Census Tract 1254.07,UT,Davis County,Utah,CT,"10047848","0",1254.07
398576.700277618,4552963.10568928,0,1254.08,"49","011","125408",1400000US49011125408,"49011125408",Census Tract 1254.08,UT,Davis County,Utah,CT,"28892094","98086697",1254.08
410893.733570261,4548699.23618696,0,1254.09,"49","011","125409",1400000US49011125409,"49011125409",Census Tract 1254.09,UT,Davis County,Utah,CT,"2607917","0",1254.09
411605.223302903,4547240.16335983,0,1254.1,"49","011","125410",1400000US49011125410,"49011125410",Census Tract 1254.10,UT,Davis County,Utah,CT,"2169709","0",1254.1
398682.981451289,4534264.70989407,0,1254.11,"49","011","125411",1400000US49011125411,"49011125411",Census Tract 1254.11,UT,Davis County,Utah,CT,"187211708","720765178",1254.11
413402.291859979,4548279.12668744,0,1254.12,"49","011","125412",1400000US49011125412,"49011125412",Census Tract 1254.12,UT,Davis County,Utah,CT,"1284865","0",1254.12
412982.402972523,4547268.02310715,0,1254.13,"49","011","125413",1400000US49011125413,"49011125413",Census Tract 1254.13,UT,Davis County,Utah,CT,"3829138","0",1254.13
414831.497727115,4548343.02563244,0,1254.14,"49","011","125414",1400000US49011125414,"49011125414",Census Tract 1254.14,UT,Davis County,Utah,CT,"1772854","0",1254.14
414592.204411392,4547149.87107544,0,1254.15,"49","011","125415",1400000US49011125415,"49011125415",Census Tract 1254.15,UT,Davis County,Utah,CT,"3423617","3448",1254.15
411435.159773698,4552003.51288715,0,1255.01,"49","011","125501",1400000US49011125501,"49011125501",Census Tract 1255.01,UT,Davis County,Utah,CT,"3897928","1318",1255.01
413059.827049291,4551951.51318035,0,1255.02,"49","011","125502",1400000US49011125502,"49011125502",Census Tract 1255.02,UT,Davis County,Utah,CT,"3299142","10741",1255.02
411404.729069714,4549864.71627419,0,1255.03,"49","011","125503",1400000US49011125503,"49011125503",Census Tract 1255.03,UT,Davis County,Utah,CT,"2602631","0",1255.03
413163.002810755,4550364.63030865,0,1256,"49","011","125600",1400000US49011125600,"49011125600",Census Tract 1256,UT,Davis County,Utah,CT,"4025660","33921",1256
415044.720689545,4550341.44936316,0,1257.01,"49","011","125701",1400000US49011125701,"49011125701",Census Tract 1257.01,UT,Davis County,Utah,CT,"3258708","9463",1257.01
414392.58746853,4551935.73257585,0,1257.02,"49","011","125702",1400000US49011125702,"49011125702",Census Tract 1257.02,UT,Davis County,Utah,CT,"2092290","12413",1257.02
416312.626434693,4548556.16443032,0,1258.01,"49","011","125801",1400000US49011125801,"49011125801",Census Tract 1258.01,UT,Davis County,Utah,CT,"3377988","18304",1258.01
421473.789521936,4550127.91428758,0,1258.04,"49","011","125804",1400000US49011125804,"49011125804",Census Tract 1258.04,UT,Davis County,Utah,CT,"6255092","95333",1258.04
418386.167483523,4548340.0147075,0,1258.05,"49","011","125805",1400000US49011125805,"49011125805",Census Tract 1258.05,UT,Davis County,Utah,CT,"3353333","5165",1258.05
418822.648147967,4549910.93900613,0,1258.07,"49","011","125807",1400000US49011125807,"49011125807",Census Tract 1258.07,UT,Davis County,Utah,CT,"1841062","633",1258.07
417444.238618801,4550197.96139536,0,1258.09,"49","011","125809",1400000US49011125809,"49011125809",Census Tract 1258.09,UT,Davis County,Utah,CT,"1824281","19779",1258.09
416653.552601457,4549927.47850755,0,1258.1,"49","011","125810",1400000US49011125810,"49011125810",Census Tract 1258.10,UT,Davis County,Utah,CT,"1393219","1741",1258.1
