YEAR,GEOID20,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,ACS_PCT_UNINSURED
2020,49011126402,49011,49,Utah,Davis County,West,2.83
2020,49011126404,49011,49,Utah,Davis County,West,5.18
2020,49011126405,49011,49,Utah,Davis County,West,2.97
2020,49011126406,49011,49,Utah,Davis County,West,13.13
2020,49011126500,49011,49,Utah,Davis County,West,3.13
2020,49011126600,49011,49,Utah,Davis County,West,7.59
2020,49011126700,49011,49,Utah,Davis County,West,11.36
2020,49011126801,49011,49,Utah,Davis County,West,4.3
2020,49011126802,49011,49,Utah,Davis County,West,2.69
2020,49011126901,49011,49,Utah,Davis County,West,10.61
2020,49011126902,49011,49,Utah,Davis County,West,4.39
2020,49011127002,49011,49,Utah,Davis County,West,6.46
2020,49011127003,49011,49,Utah,Davis County,West,1.27
2020,49011127005,49011,49,Utah,Davis County,West,12.43
2020,49011127006,49011,49,Utah,Davis County,West,10.29
2020,49011127100,49011,49,Utah,Davis County,West,4.27
2020,49011980000,49011,49,Utah,Davis County,West,0
2020,49013940300,49013,49,Utah,Duchesne County,West,12.32
2020,49013940501,49013,49,Utah,Duchesne County,West,20.51
2020,49013940502,49013,49,Utah,Duchesne County,West,11.17
2020,49013940600,49013,49,Utah,Duchesne County,West,12.61
2020,49015976200,49015,49,Utah,Emery County,West,8.14
2020,49015976300,49015,49,Utah,Emery County,West,3.77
2020,49015976500,49015,49,Utah,Emery County,West,7.06
2020,49017000300,49017,49,Utah,Garfield County,West,13.82
2020,49017000400,49017,49,Utah,Garfield County,West,18.92
2020,49019000200,49019,49,Utah,Grand County,West,27.07
2020,49019000301,49019,49,Utah,Grand County,West,3.49
2020,49019000302,49019,49,Utah,Grand County,West,10.06
2020,49021110100,49021,49,Utah,Iron County,West,13.54
2020,49021110201,49021,49,Utah,Iron County,West,15.27
2020,49021110202,49021,49,Utah,Iron County,West,11.36
2020,49021110300,49021,49,Utah,Iron County,West,16.84
2020,49021110400,49021,49,Utah,Iron County,West,7.01
2020,49021110501,49021,49,Utah,Iron County,West,11.7
2020,49021110502,49021,49,Utah,Iron County,West,12.63
2020,49021110601,49021,49,Utah,Iron County,West,16.67
2020,49021110602,49021,49,Utah,Iron County,West,13.66
2020,49021110702,49021,49,Utah,Iron County,West,6.77
2020,49021110703,49021,49,Utah,Iron County,West,6.74
2020,49021110704,49021,49,Utah,Iron County,West,9.43
2020,49023010100,49023,49,Utah,Juab County,West,9.99
2020,49023010200,49023,49,Utah,Juab County,West,9.08
2020,49025130100,49025,49,Utah,Kane County,West,9.05
2020,49025130200,49025,49,Utah,Kane County,West,13
2020,49027974100,49027,49,Utah,Millard County,West,6.73
2020,49027974200,49027,49,Utah,Millard County,West,13.37
2020,49027974300,49027,49,Utah,Millard County,West,14.57
2020,49029970101,49029,49,Utah,Morgan County,West,5.09
2020,49029970102,49029,49,Utah,Morgan County,West,7.98
2020,49029970200,49029,49,Utah,Morgan County,West,0.54
2020,49031960100,49031,49,Utah,Piute County,West,18.58
2020,49033950100,49033,49,Utah,Rich County,West,9.21
2020,49035100100,49035,49,Utah,Salt Lake County,West,12.31
2020,49035100200,49035,49,Utah,Salt Lake County,West,3.75
2020,49035100306,49035,49,Utah,Salt Lake County,West,24.66
2020,49035100307,49035,49,Utah,Salt Lake County,West,13.6
2020,49035100308,49035,49,Utah,Salt Lake County,West,34.8
2020,49035100500,49035,49,Utah,Salt Lake County,West,33.66
2020,49035100600,49035,49,Utah,Salt Lake County,West,20.61
2020,49035100700,49035,49,Utah,Salt Lake County,West,11.72
2020,49035100800,49035,49,Utah,Salt Lake County,West,11.49
2020,49035101000,49035,49,Utah,Salt Lake County,West,6.73
2020,49035101101,49035,49,Utah,Salt Lake County,West,8.57
